Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
"J. D. P. Co., Ltd.",Thailand,,,,,,,,,
"Phuket Fishmeal Industrial Co.,ltd",Thailand,,,,,,,,,
"Sinphiboonchai Fishmill Part., Ltd.",Thailand,,,,,,,,,
Choke Udom Pattana Fishmeal Limited Partnership,Thailand,,,,,,,,,
"Mit Khanom Fish Meal (1997) Co., Ltd.",Thailand,,,,,,,,,
"Witchu Industry Co., Ltd.",Thailand,,,,,,,,,
"Sichon Fishmeal Factory Part., Ltd.",Thailand,,,,,,,,,
"Chaweng Watana Fishmeal Factory Part., Ltd.",Thailand,,,,,,,,,
"Chok Anavin Fishery Co., Ltd.",Thailand,,,,,,,,,
"Panichprapon Co., Ltd.",Thailand,,,,,,,,,
Kantang KSC Part. Ltd.,Thailand,,,,,,,,,
Charoen Kijjakarn Ranong Fish Meal Factory Part. Ltd.,Thailand,,,,,,,,,
"Siamchai Pokpan Co., Ltd",Thailand,,,,,,,,,
"Mahatasinwaree Co., Ltd.",Thailand,,,,,,,,,
"Saha Pramong Fish Meal Ranong Co., Ltd.",Thailand,,,,,,,,,
"Teppama Fishmeal Co., Ltd",Thailand,,,,,,,,,
"Suk Ruang Kaew Fish Meal (2004) Co., Ltd.",Thailand,,,,,,,,,
Ranong Food Products Part. Ltd.,Thailand,,,,,,,,,
"Krungdhep Mahakij Co., Ltd.",Thailand,,,,,,,,,
Teppama Fishmeal Company Limited,Thailand,,,,,,,,,
"Tungka Fishmeal
Part.,Ltd.",Thailand,,,,,,,,,
"Siam Fishmeal Factory Co., Ltd. (Part. Ltd.)",Thailand,,,,,,,,,
"Klong Yai Fishmeal Co., Ltd.",Thailand,,,,,,,,,
"Wasan Samut Fish Meal Part., Ltd.",Thailand,,,,,,,,,
"Saengcharoen Products part., Ltd.",Thailand,,,,,,,,,
"San-nguansin Fish Meal Part., Ltd.",Thailand,,,,,,,,,
"Ban Klaeng Industry Part., Ltd.",Thailand,,,,,,,,,
"Eastern Fishmeal Co.,Ltd.",Thailand,,,,,,,,,
"ThuyHai Seafood Processing Co., Lt",Vietnam,,,,,,,,,
Tak Chua Brothers Sdn Bhd,Malaysia,,,,,,,,,
Mar Fusion S.A.,Chile,,,,,,,,,
