Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Pacific Freezing Company S.A.C.,Peru,Santiago de Surco,Provincia de Lima,"Av. Javier Prado Este 4065, Santiago de Surco 15023, Peru",https://issuu.com/revistaindustriaalimentaria/docs/directorio_industria_alimentaria_2019__02-08-2019_,,,,,
Global Marine Exports,India,Navi Mumbai,Maharashtra,"G-2, Taloja, Navi Mumbai, Maharashtra 410208, India",https://www.indiamart.com/global-marine-exports/,,,,,
CPD FARINE,Western Sahara,,,,https://sjoseph.ucdavis.edu/sites/g/files/dgvnsk9446/files/inline-files/bibliography_0.pdf,,,,,
Hind Aquatic,India,Jakhau,Gujarat,"6P45+WJH, Jakhau, Gujarat 370640, India",,,,,,
"New Hope Liuhe Co., Ltd.",China,Wu Wei Shi,Gan Su Sheng,"China, Gan Su Sheng, Wu Wei Shi, Liang Zhou Qu, 新建路WJM2+6J5 邮政编码: 733004",,,,,,
HKA Bawa & Sons,India,Mangaluru,Karnataka,"Bawa Chambers, Goods Shed Rd, Hoige Bazaar, Bunder, Mangaluru, Karnataka 575001, India",https://www.justdial.com/Mangalore/Fish-Meal-Manufacturers-in-Ullal/nct-10934123,,,,,
Indo Fish Meal & Oil Company Private Limited,India,Mangalore,Karnataka,"D.NO.1-1/11, Beach Road, Ullal Industrial Area, Kotepura, Ullal, Mangalore, Karnataka 575020, India",https://www.chinafeedonline.com.hk/sites/default/files/pdf/aqsiq_list/India_FM_20240827.pdf,,,,,
J.M. Sea Foods,India,Mimisal,Tamil Nadu,"Palakkudi, Ayyampattinam, Mimisal, Mimisal Chatrapattinam, Tamil Nadu 614621, India",,,,,,
Jaimar Enterprises,India,Palayakkayal,Tamil Nadu,"5/388, Kovankadu Rd, Palayakkayal, Iruvappapuram, Tamil Nadu 628152, India",https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?OffId=13&Office=SRD%20Tuticorin&Categ=ExporterME,,,,,
Janatha Fish Meal and Oil Products,India,Kota,Karnataka,"Fisheries Rd, Manoor, Kota, Karnataka 576221, India",https://www.janathafishmeal.com/contacts.php,,,,,
Can Kardeşler Su Ürünleri San. Tic. A.Ş. Yem İşletmesi,Turkey,,Manisa,"Şehitler, 45020 Şehzadeler/Manisa, Türkiye",https://www.sehzadeler.bel.tr/uploads/images/AEHZADELER_BELEDYES_FAALYET_RAPORU_2023__.pdf,,,,,
Jenefa India,India,,Tamil Nadu,"Sy. No 764/1,2, 3, Vadakku karaseri, Tamil Nadu 628104, India",,,,,,
Marina De Guerra Del Peru,Peru,Callao,Callao Region,"WRJR+X9X, Callao 07021, Peru",,,,,,
